Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
Deux Jours dans la Vallée,2 Days in the Valley,1996,Picture 3706,C,C,"Tout commence par un contrat qu'acceptent un tueur a gages et son acolyte. Ce dernier apprend, tres vite, que sa propre mort fait partie dudit contrat. Echappant de justesse au piege fatal dans lequel il a ete attire, il se refugie dans une demeure luxueuse sur les collines. Le voici devenu malgre lui le kidnappeur de deux otages: un insupportable vendeur d'art et sa fidele secretaire. Pour tout compliquer, debarquent la soeur du vendeur d'art et un ecrivain, realisateur suicidaire. "
Quitte ou Double,2 Guns,2013,Picture 644,O,O,"Deux truands, Trench (Denzel Washington) et Stigman (Mark Wahlberg), rencontrent au Mexique le baron de la drogue Papi Greco (Edward James Olmos). Cependant Greco, méfiant car récemment trahi par un de ses hommes, refuse de leur fournir la cocaïne demandée et la transaction échoue.
Repassant la frontière vers les États-Unis, tous deux sont arrêtés par la DEA et interrogés. Trench, qui est en fait un agent de la DEA infiltré (à l'insu de Stigman), fait son rapport à son supérieur Jessup (Robert John Burke) et lui dit qu'il n'a pas pu obtenir les preuves nécessaires à faire condamner Greco. Il rencontre ensuite sa maîtresse Deb Rees (Paula Patton), elle aussi agent, et lui dévoile son nouveau plan : attaquer la banque de Las Cruces pour y voler 3 millions de dollars à Greco, et le faire tomber pour évasion fiscale. Stigman, quant à lui, est en fait un Navy SEAL, infiltré également. Il rencontre son commandant, Harold Quince (James Marsden) qui lui fournit l'équipement nécessaire pour forcer les coffres, ses ordres étant de tuer Trench et de récupérer l'argent pour financer les opérations secrètes de la Marine."
20000 Lieues sous les Mers,20000 Leagues Under the Sea,1954,Picture 18,B,B,"1868. Depuis quelque temps, sur tous les océans du globe, les navires sombrent dans d'étranges circonstances. Les rescapés de ces naufrages en attribuent la cause à un mystérieux monstre qui éperonne les vaisseaux. À San Francisco, le professeur Pierre Aronnax, accompagné de son domestique Conseil, de même que le harponneur Ned Land, embarquent à bord d'une frégate affrétée par la marine américaine dans le but de traquer le monstre..."
2001 L'Odyssée de l'Espace,2001 A Space Odyssey,1968,Picture 19,N,N,"2001, l'Odyssée de l'espace retrace, à travers différentes époques, le rôle joué par une intelligence inconnue dans l'évolution de l'humanité.
L'aube de l'humanité. À la merci des prédateurs, chassée de son point d'eau par un groupe rival, une tribu d'australopithèques est sur le point de disparaître. Mais un matin, ils découvrent un imposant monolithe noir devant la caverne qui leur sert d'abri. Après l'avoir touché, ils ont soudain l'idée de se servir d'os comme armes et apprennent à tuer du gibier. Ce premier acte de violence est suivi par une attaque du point d'eau, au cours de laquelle le chef du groupe rival est tué.
Des vaisseaux dans l'espace. En 1999, le Dr Heywood Floyd, un scientifique américain, se rend sur la Lune pour enquêter sur une fantastique découverte gardée secrète : les équipes de la base de Clavius ont relevé dans le cratère de Tycho une anomalie magnétique provoquée par un monolithe noir. Celui-ci aurait été volontairement enfoui dans le sous-sol lunaire, quatre millions d'années plus tôt. Peu après que le Dr Floyd a touché le monolithe, celui-ci émet une puissante onde radioélectrique en direction de Jupiter."
2009 Mémoires Perdues,2009  Lost Memories,2002,Picture 3080,B,B,"En 2009, alors que la Corée fait partie de l'empire japonais, deux policiers font équipe pour enquêter sur un groupe terroriste de résistance... "
2010 l'Année du Premier Contact,2010 the Year we Make Contact,1984,Picture 20,O,O,"Américains et Soviétiques cherchent à savoir ce qu'est devenu HAL 9000.
Dans un monde où la guerre froide est toujours d'actualité, le directeur de la mission précédente, l'ingénieur qui a conçu le vaisseau spatial Discovery et le créateur de l'ordinateur, partent avec une équipe soviétique à bord du vaisseau spatial Leonov en direction de Jupiter, planète autour de laquelle le Discovery est toujours en orbite au point de Lagrange entre Jupiter et son satellite Io. Alors que sur Terre les tensions sont au maximum et que la guerre est sur le point d'éclater, les scientifiques des deux camps vont devoir s'unir pour comprendre l'origine de la folie de HAL et survivre."
2012,2012,2009,Picture 10,K,K,"En raison de bombardements de neutrinos dus à une éruption solaire, le noyau de la Terre commence à chauffer à un rythme inconnu jusqu'alors, causant en fin de compte des déplacements de la croûte terrestre avant décembre 2012, tel que cela avait été prévu. Il s'ensuivra un scénario de fin du monde qui plongera l'humanité dans le chaos. Le film suit un groupe de personnages alors qu'ils échappent de justesse à d'innombrables catastrophes. En même temps, des savants et des dirigeants du monde tentent de sauver le plus de vies possible avant l'arrivée des désastres.
Los Angeles est engloutie dans l'océan Pacifique après sa destruction causée par son tremblement de terre, la caldeira du Parc national de Yellowstone entre en éruption, Hawaï devient un torrent de lave et des tremblements de terre ravagent le monde entier dont Las Vegas et le Vatican, détruisant toute civilisation et causant des tsunamis gigantesques dont un submerge Washington, la Maison-Blanche est percutée par le porte-avions USS John F. Kennedy. Suite à cela, le pôle Sud (magnétique) se retrouve dans le Wisconsin, et le massif du Drakensberg en Afrique du Sud devient le sommet le plus élevé du nouveau monde. Après de multiples péripéties en avion, le groupe de personnages arrive finalement aux « arches » construites et ancrées dans l'Himalaya et dont le nombre de places est limité."
"2019,  Après la Chute de New York","2019, After the Fall of New York",1983,Picture 1762,Z,Z,"Après une guerre nucléaire, les survivants sont regroupés en deux clans, la Fédération et les diaboliques Euraks. 
Un mercenaire est envoyé par la Fédération en territoire ennemi, à New York, pour y sauver la dernière femme en mesure de procréer. "
2036 Origine Inconnu,2036 Origin Unknown,2018,Picture 2686,B,B,"Après que la première mission habitée vers Mars se termine dans un accident mortel, le contrôleur de mission Mackenzie ‘Mack’ Wilson (Sackhoff) assiste un système d’intelligence artificielle, A.R.T.I. Leur enquête découvre un objet mystérieux sous la surface de Mars, qui pourrait changer le futur de notre planète tel que nous le connaissons."
2046,2046,2004,Picture 24887,U,,"Qui sait, elle peut encore changer… Chow Mo-wan est maintenant un écrivain de science-fiction qui s'évade dans un lieu imaginaire, 2046, dont on ne revient jamais. 2046 est aussi le numéro de la chambre où il avait l'habitude de rencontrer Su Li-zhen, son grand amour, en 1962 à Hong Kong. Il s'installe dans la chambre 2047 fin 1966 et observe ce qui se passe à côté…"
2047 - Sights of Death,2047 - Sights of Death,2014,Picture 2836,B,B,"En 2047, le monde entier est sous la domination répressive du Gouvernement Central Confédéré. Ryan Willburn, un agent au service des forces rebelles, est envoyé, au péril de sa vie, en mission secrète afin de rassembler des preuves des crimes commis par le gouvernement. "
2067,2067,2020,Picture 4769,D,D,"La Terre est au bord de l'extinction. Après des années de changement climatique, la vie végétale s'est éteinte et l'oxygène est devenu rare. Les scientifiques développent une technologie pour se déplacer dans le temps. Un message de 400 ans dans le futur est intercepté : « ENVOYEZ ETHAN WHYTE ». Contre sa volonté, le jeune Ethan, fils d’un chercheur disparu, est envoyé dans le futur : il représente le dernier espoir pour l'Humanité. "
20th Century Boys,20th Century Boys 1 - Beginning of the End,2008,Picture 2669,B,,"1969 : Kenji et sa bande de copains passent leurs vacances d'été à rêver de l'exposition universelle dOsaka et à s'inventer un scénario catastrophe de fin du monde dans leur cahier des prédictions. A cette époque, Kenji voulait devenir une rock star et sauver lhumanité. 1997 : Kenji aide sa mère dans la supérette de quartier tout en jouant la baby-sitter pour sa nièce Kanna. Ses rêves de gamin resurgissent lorsque la police le questionne sur une mystérieuse organisation dont le symbole serait identique à celui inventé dans le cahier des prédictions de sa jeunesse. Tous les indices mènent à une mystérieuse secte dont le chef se fait appeler AMI."
21,21,2008,Picture 6,K,K,"Ben Campbell, un étudiant surdoué du MIT, n'a plus de temps pour lui. Il est contraint de se partager entre les études, les petits boulots et un concours scientifique auquel il participe avec deux de ses amis.
Un jour, un étudiant vient chercher Ben pour l'intégrer dans une équipe de blackjack composée de 5 surdoués et un professeur. D'abord réticent, Ben finit par accepter de devenir membre et s'entraîne d'arrache-pied.
Chaque week-end, l'équipe se rend à Las Vegas pour empocher d'énormes sommes d'argent grâce à sa stratégie a priori sans faille. Ben apprécie de plus en plus l'argent facile, ainsi que Jill, une coéquipière. Mais bien vite, son nouveau moyen de financer ses études devient une source de problèmes.
Le film est inspiré par l'histoire réelle d'une équipe du MIT, la MIT Blackjack Team, comme dans l'ouvrage de Ben Mezrich."
Poursuite sous Pression,21 Bridges,2019,Picture 3669,C,C,"Une course-poursuite infernale pour appréhender deux tueurs de flics à New York. L’inspecteur Davis est prêt à tout pour les coincer, d’autant qu’une gigantesque machination se dessine derrière leurs agissements. Pour les piéger, il va complètement isoler l’île de Manhattan, fermant l’ensemble de ses ponts, dans une spectaculaire opération… La traque peut commencer. "
21 Grammes,21 Grams,2003,Picture 23429,P,P,"Vivant un mariage sans amour avec Mary, Paul, professeur de mathématiques, est en attente d’une greffe de cœur. Mariée et mère de deux petites filles, Cristina, ex-junkie, mène une existence heureuse et paisible auprès de son mari Michael. À peine sorti de prison où il a trouvé la foi, Jack, gangster repenti, veut reconstruire son foyer et venir en aide aux jeunes délinquants. Un terrible accident va réunir ces trois personnes et les changer à jamais. Ils vont s'affronter, se haïr et s'aimer."
21 Jump Street,21 Jump Street,2012,Picture 21,O,O,"À La Nouvelle-Orléans, une brigade de police sous couverture est établie dans une ancienne église, au 21 Jump Street. De jeunes officiers sont formés pour l'infiltration d'établissements d'enseignement secondaire pour prévenir la délinquance des mineurs et le trafic de stupéfiants."
211,211,2018,Picture 2694,B,B,Un simple flic essaie d'interrompre un braquage en cours dans une banque. 
L'Immortel,22 Bullets,2010,Picture 35,L,,"Charly Matteï a tourné la page de son passé de hors-la-loi. Depuis trois ans, il mène une vie paisible et se consacre à sa femme et à ses deux enfants. Pourtant, un matin d'hiver, son passé le rattrape. Dans le parking du vieux port à Marseille, il est la cible d'un commando composé de 8 hommes ; il est laissé pour mort avec 22 balles dans le corps. Contre toute attente, il ne va pas mourir.
Marie Goldman est un officier de police qui enquête sur la tentative d'assassinat du parking. Son mari, aussi policier, a été assassiné en service et son assassin n'a jamais été attrapé. En dépit, de l'indifférence de ses supérieurs, elle n'a de cesse de vouloir identifier le meurtrier de son mari.
À la recherche de ses assaillants, Charly Matteï se retrouve confronté à son passé criminel et sa famille est menacée. Matteï a laissé la gestion de ses ""affaires"" à son vieil ami Tony Zacchia depuis près de trois ans. Il mène depuis une vie de famille calme, mais il veut identifier les attaquants, dans un premier temps sans ""effusions de sang""."
